[2026-07-20T13:00:37.918Z] GET https://kiro.dev/styles/fonts/AWSDiatypeRoundedSemi-Mono-Bold.woff2 → 200 (?ms, -2048B)
[2026-07-20T13:00:37.918Z] GET https://kiro.dev/videos/spec-task.mp4?h=66bfe3fb → 206 (23ms, 1788823B)
[2026-07-20T13:00:37.919Z] GET https://kiro.dev/videos/specs-start.mp4?h=4bef81b6 → 206 (22ms, ?B)
[2026-07-20T13:00:37.939Z] GET https://kiro.dev/styles/fonts/AWSDiatype-Bold.woff2 → 200 (138ms, 78793B)
[2026-07-20T13:00:37.939Z] GET https://kiro.dev/styles/fonts/FragmentMono-Regular.woff2 → 200 (123ms, 57633B)
[2026-07-20T13:00:37.958Z] HEAD https://prod.log.shortbread.aws.dev/1x1.png?severity=info&message=checkForCookieConsent&payload=%7B%22timestamp%22%3A1784552437952%2C%22logVersion%22%3A%221%22%2C%22domain%22%3A%22kiro.dev%22%2C%22url%22%3A%22https%3A%2F%2Fkiro.dev%2Fdocs%2Fspecs%2F%22%2C%22cookie%22%3A%7B%22essential%22%3Atrue%2C%22performance%22%3Atrue%2C%22functional%22%3Atrue%2C%22advertising%22%3Atrue%2C%22ccba%22%3Atrue%7D%2C%22uuid%22%3A%2246d5ca6f-8a61-4154-8038-d10a69067b2d%22%7D → pending (?ms, ?B)
[2026-07-20T13:00:37.977Z] GET https://kiro.dev/_next/static/chunks/73972abe.904c8145aba9bba1.js → 200 (80ms, 18597B)
[2026-07-20T13:00:37.977Z] GET https://kiro.dev/_next/static/chunks/0b9a0da7.baffceacd0efec06.js → 200 (91ms, 23670B)
[2026-07-20T13:00:37.977Z] GET https://kiro.dev/_next/static/chunks/82931-86d2243e0d659049.js → 200 (81ms, 9667B)
[2026-07-20T13:00:37.977Z] GET https://kiro.dev/_next/static/chunks/98499.4787cd06522c006d.js → 200 (134ms, 98390B)
[2026-07-20T13:00:37.977Z] GET https://kiro.dev/_next/static/chunks/28765.5e39bf8452d53b2f.js → 200 (68ms, 2386B)
[2026-07-20T13:00:37.992Z] GET https://kiro.dev/docs/index.txt?_rsc=ce3uH_WCku73_HBR → 200 (85ms, 9974B)
[2026-07-20T13:00:37.992Z] GET https://kiro.dev/docs/cli/index.txt?_rsc=ce3uH_WCku73_HBR → 200 (599ms, 10576B)
[2026-07-20T13:00:37.992Z] GET https://kiro.dev/docs/web/index.txt?_rsc=ce3uH_WCku73_HBR → 200 (365ms, 10175B)
[2026-07-20T13:00:37.992Z] GET https://kiro.dev/docs/whats-new-1-0/index.txt?_rsc=ce3uH_WCku73_HBR → 200 (467ms, 12238B)
[2026-07-20T13:00:37.992Z] GET https://kiro.dev/docs/models/index.txt?_rsc=ce3uH_WCku73_HBR → 200 (600ms, 17814B)
[2026-07-20T13:00:38.007Z] HEAD https://prod.log.shortbread.aws.dev/1x1.png?severity=info&message=uiMounted&payload=%7B%22timestamp%22%3A1784552438005%2C%22logVersion%22%3A%221%22%2C%22domain%22%3A%22.kiro.dev%22%2C%22url%22%3A%22https%3A%2F%2Fkiro.dev%2Fdocs%2Fspecs%2F%22%2C%22shortbreadCommit%22%3A%221.1.1%22%7D → pending (?ms, ?B)
[2026-07-20T13:00:38.007Z] HEAD https://prod.log.shortbread.aws.dev/1x1.png?severity=info&message=checkForCookieConsent&payload=%7B%22timestamp%22%3A1784552438006%2C%22logVersion%22%3A%221%22%2C%22domain%22%3A%22kiro.dev%22%2C%22url%22%3A%22https%3A%2F%2Fkiro.dev%2Fdocs%2Fspecs%2F%22%2C%22shortbreadCommit%22%3A%221.1.1%22%2C%22cookie%22%3A%7B%22essential%22%3Atrue%2C%22performance%22%3Atrue%2C%22functional%22%3Atrue%2C%22advertising%22%3Atrue%2C%22ccba%22%3Atrue%7D%2C%22uuid%22%3A%2246d5ca6f-8a61-4154-8038-d10a69067b2d%22%7D → pending (?ms, ?B)
[2026-07-20T13:00:38.077Z] GET https://kiro.dev/docs/editor/interface/index.txt?_rsc=ce3uH_WCku73_HBR → 200 (339ms, 10068B)
[2026-07-20T13:00:38.149Z] GET https://kiro.dev/_next/static/chunks/47882.1fe0b9788487ac21.js → 200 (217ms, 20295B)
